Name,Region,Hoehenlage,Saisonzeit,Land,Piste,Pistenlaenge,Pistenfarbe,Pistenkapazitaet,Unterkunft,UnterkunftTyp,UnterkunftBetten,Schule,SchulSchwerpunkt,SchulZielgruppe
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Fernerhaus,3.0,blau,78,Zillertal Ferienhaus,Ferienwohnung,70,Summit Ski and Snowboard,Ski,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,La Chaux,2.3,blau,51,Swiss Alp Lodge,Ferienwohnung,55,Altitude Ski Academy,Ski,Anfänger
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Fernerhaus,3.0,blau,78,Zillertal Ferienhaus,Ferienwohnung,70,Peak Performance Snowboard,Snowboard,Profis
Verbier,Wallis,3330,Winter,Schweiz,La Chaux,2.3,blau,51,Swiss Alp Lodge,Ferienwohnung,55,Snowboard Pros Academy,Snowboard,Anfänger
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Fernerhaus,3.0,blau,78,Zillertal Ferienhaus,Ferienwohnung,70,Rider’s Edge Ski School,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Swiss Alp Lodge,Ferienwohnung,55,Freestyle Factory,Snowboard,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Swiss Alp Lodge,Ferienwohnung,55,Ski Masters,Ski,Profis
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Swiss Alp Lodge,Ferienwohnung,55,The Ski Lab,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Swiss Alp Lodge,Ferienwohnung,55,Snow Academy,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Swiss Alp Lodge,Ferienwohnung,55,Freestyle Freaks,Snowboard,Profis
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Swiss Alp Lodge,Ferienwohnung,55,Altitude Ski Academy,Ski,Anfänger
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Swiss Alp Lodge,Ferienwohnung,55,Snowboard Pros Academy,Snowboard,Anfänger
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Green Acres,1.2,blau,28,Pine Ridge Inn,Hotel,80,Alpine Action,Ski,Anfänger
Timberline Lodge,Oregon,2631,ganzjährig,USA,Cascade,1.5,schwarz,41,Timberline Hotel,Hotel,130,Snowboarders Paradise,Snowboard,Profis
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Gampen,2.5,blau,61,Tirolerhof,Hotel,150,Powder School,Ski,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Matterhorn Hotel,Hotel,100,Freestyle Factory,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Mont Blanc Resort,Hotel,170,Snowy Peaks Academy,Ski,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Aspen Grove Hotel,Hotel,210,Mountain Shredders,Snowboard,Profis
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Matterhorn Hotel,Hotel,100,Ski Masters,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Rock Garden,2.4,rot,53,Volcano View Lodge,Hotel,90,Snowboard University,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Aspen Grove Hotel,Hotel,210,Peak Performance Ski School,Ski,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Paradise Bowl,2.8,schwarz,58,Lakeview Lodge,Hotel,120,Alpine Explorers,Ski,Anfänger
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Pomedes,2.5,blau,62,Dolomiti Palace,Hotel,160,Skiers’ Dream,Ski,Fortgeschrittene
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Green Acres,1.2,blau,28,Pine Ridge Inn,Hotel,80,Winter Riders Academy,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Mont Blanc Resort,Hotel,170,Avalanche Ski School,Ski,Profis
Niseko United,Hokkaido,1200,Winter,Japan,Annupuri Summit,3.3,rot,91,Niseko Lodge,Hotel,110,Snowboard Basics,Snowboard,Anfänger
Park City,Utah,3049,Winter,USA,Homerun,3.5,blau,60,Park City Palace,Hotel,180,Freeride School,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Rock Garden,2.4,rot,53,Volcano View Lodge,Hotel,90,Chill & Shred,Snowboard,Anfänger
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Matterhorn Hotel,Hotel,100,The Ski Lab,Ski,Fortgeschrittene
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Aspen Grove Hotel,Hotel,210,ShredMasters,Snowboard,Profis
Timberline Lodge,Oregon,2631,ganzjährig,USA,Cascade,1.5,schwarz,41,Timberline Hotel,Hotel,130,Mountainboarders Academy,Snowboard,Fortgeschrittene
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Gampen,2.5,blau,61,Tirolerhof,Hotel,150,The Snowboard Institute,Snowboard,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Paradise Bowl,2.8,schwarz,58,Lakeview Lodge,Hotel,120,Ski Evolution,Ski,Anfänger
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Green Acres,1.2,blau,28,Pine Ridge Inn,Hotel,80,Ice Riders,Ski,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Homerun,3.5,blau,60,Park City Palace,Hotel,180,Big Air Snowboard,Snowboard,Profis
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Mont Blanc Resort,Hotel,170,Snowy Summit Ski School,Ski,Fortgeschrittene
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Pomedes,2.5,blau,62,Dolomiti Palace,Hotel,160,Vertical Riders,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Aspen Grove Hotel,Hotel,210,Mountain Mavericks,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Rock Garden,2.4,rot,53,Volcano View Lodge,Hotel,90,Snowboard Basecamp,Snowboard,Anfänger
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Matterhorn Hotel,Hotel,100,Snow Academy,Ski,Fortgeschrittene
Timberline Lodge,Oregon,2631,ganzjährig,USA,Cascade,1.5,schwarz,41,Timberline Hotel,Hotel,130,Boarding Legends,Snowboard,Profis
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Mont Blanc Resort,Hotel,170,Powder Ridge Ski School,Ski,Profis
Niseko United,Hokkaido,1200,Winter,Japan,Annupuri Summit,3.3,rot,91,Niseko Lodge,Hotel,110,Alpine Snow School,Ski,Anfänger
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Gampen,2.5,blau,61,Tirolerhof,Hotel,150,Riders’ Retreat,Snowboard,Anfänger
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Paradise Bowl,2.8,schwarz,58,Lakeview Lodge,Hotel,120,Ultimate Ski Experience,Ski,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Matterhorn Hotel,Hotel,100,Freestyle Freaks,Snowboard,Profis
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Aspen Grove Hotel,Hotel,210,Glacier Shredders,Snowboard,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Homerun,3.5,blau,60,Park City Palace,Hotel,180,Snow Glide Academy,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Mont Blanc Resort,Hotel,170,Mountain Side Ski School,Ski,Profis
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Pomedes,2.5,blau,62,Dolomiti Palace,Hotel,160,Shredzone,Snowboard,Fortgeschrittene
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Gampen,2.5,blau,61,Tirolerhof,Hotel,150,Summit Ski and Snowboard,Ski,Fortgeschrittene
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Green Acres,1.2,blau,28,Pine Ridge Inn,Hotel,80,Powder & Peak Ski School,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Mont Blanc Resort,Hotel,170,Alpine Ride Academy,Snowboard,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Rock Garden,2.4,rot,53,Volcano View Lodge,Hotel,90,Board Walkers,Snowboard,Anfänger
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Paradise Bowl,2.8,schwarz,58,Lakeview Lodge,Hotel,120,Mountain Magic Ski School,Ski,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Homerun,3.5,blau,60,Park City Palace,Hotel,180,Snowboarding Pros,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Aspen Grove Hotel,Hotel,210,Snowboard Xtreme,Snowboard,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Matterhorn Hotel,Hotel,100,Altitude Ski Academy,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Mont Blanc Resort,Hotel,170,Mountain Ski and Board,Ski,Fortgeschrittene
Niseko United,Hokkaido,1200,Winter,Japan,Annupuri Summit,3.3,rot,91,Niseko Lodge,Hotel,110,Alpine Glide Academy,Snowboard,Fortgeschrittene
Timberline Lodge,Oregon,2631,ganzjährig,USA,Cascade,1.5,schwarz,41,Timberline Hotel,Hotel,130,Boarding Skills Academy,Snowboard,Anfänger
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Gampen,2.5,blau,61,Tirolerhof,Hotel,150,Peak Performance Snowboard,Snowboard,Profis
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Paradise Bowl,2.8,schwarz,58,Lakeview Lodge,Hotel,120,Ski Peak Academy,Ski,Anfänger
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Pomedes,2.5,blau,62,Dolomiti Palace,Hotel,160,Alpine Snow Riders,Ski,Anfänger
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Rock Garden,2.4,rot,53,Volcano View Lodge,Hotel,90,Riders Edge Snowboard School,Snowboard,Fortgeschrittene
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Aspen Grove Hotel,Hotel,210,Peak Shred Academy,Snowboard,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Mont Blanc Resort,Hotel,170,Mountain Stars Ski School,Ski,Profis
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Matterhorn Hotel,Hotel,100,Snowboard Pros Academy,Snowboard,Anfänger
Timberline Lodge,Oregon,2631,ganzjährig,USA,Cascade,1.5,schwarz,41,Timberline Hotel,Hotel,130,Ski Bound Academy,Ski,Anfänger
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Rock Garden,2.4,rot,53,Volcano View Lodge,Hotel,90,Winter Warriors Snowboard,Snowboard,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Paradise Bowl,2.8,schwarz,58,Lakeview Lodge,Hotel,120,Ski Vision Academy,Ski,Profis
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Gampen,2.5,blau,61,Tirolerhof,Hotel,150,Rider’s Edge Ski School,Ski,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Mont Blanc Resort,Hotel,170,Snowboard Summit,Snowboard,Profis
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Green Acres,1.2,blau,28,Pine Ridge Inn,Hotel,80,Summit Riders Ski School,Ski,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Paradise Bowl,2.8,schwarz,58,Lakeview Lodge,Hotel,120,Alpine Action,Ski,Anfänger
Park City,Utah,3049,Winter,USA,Homerun,3.5,blau,60,Park City Palace,Hotel,180,Snowboarders Paradise,Snowboard,Profis
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Fernerhaus,3.0,blau,78,Tirolerhof,Hotel,150,Powder School,Ski,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,La Chaux,2.3,blau,51,Matterhorn Hotel,Hotel,100,Freestyle Factory,Snowboard,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,La Chaux,2.3,blau,51,Matterhorn Hotel,Hotel,100,Ski Masters,Ski,Profis
Verbier,Wallis,3330,Winter,Schweiz,La Chaux,2.3,blau,51,Matterhorn Hotel,Hotel,100,The Ski Lab,Ski,Fortgeschrittene
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Fernerhaus,3.0,blau,78,Tirolerhof,Hotel,150,The Snowboard Institute,Snowboard,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,La Chaux,2.3,blau,51,Matterhorn Hotel,Hotel,100,Snow Academy,Ski,Fortgeschrittene
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Fernerhaus,3.0,blau,78,Tirolerhof,Hotel,150,Riders’ Retreat,Snowboard,Anfänger
Verbier,Wallis,3330,Winter,Schweiz,La Chaux,2.3,blau,51,Matterhorn Hotel,Hotel,100,Freestyle Freaks,Snowboard,Profis
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Fernerhaus,3.0,blau,78,Tirolerhof,Hotel,150,Summit Ski and Snowboard,Ski,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,La Chaux,2.3,blau,51,Matterhorn Hotel,Hotel,100,Altitude Ski Academy,Ski,Anfänger
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Fernerhaus,3.0,blau,78,Tirolerhof,Hotel,150,Peak Performance Snowboard,Snowboard,Profis
Verbier,Wallis,3330,Winter,Schweiz,La Chaux,2.3,blau,51,Matterhorn Hotel,Hotel,100,Snowboard Pros Academy,Snowboard,Anfänger
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Fernerhaus,3.0,blau,78,Tirolerhof,Hotel,150,Rider’s Edge Ski School,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Matterhorn Hotel,Hotel,100,Freestyle Factory,Snowboard,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Matterhorn Hotel,Hotel,100,Ski Masters,Ski,Profis
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Matterhorn Hotel,Hotel,100,The Ski Lab,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Matterhorn Hotel,Hotel,100,Snow Academy,Ski,Fortgeschrittene
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Matterhorn Hotel,Hotel,100,Freestyle Freaks,Snowboard,Profis
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Matterhorn Hotel,Hotel,100,Altitude Ski Academy,Ski,Anfänger
Zermatt (Matterhorn Glacier Paradise),Wallis,3899,ganzjährig,Schweiz,Breithorn,5.3,schwarz,144,Matterhorn Hotel,Hotel,100,Snowboard Pros Academy,Snowboard,Anfänger
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Snowy Peak Retreat,Ferienhaus,20,Alpine Action,Ski,Anfänger
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Fir Tree Cabins,Ferienhaus,15,Snowboarders Paradise,Snowboard,Profis
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Alpenrose Hotel,Hotel,200,Powder School,Ski,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Edelweiss Lodge,Hotel,150,Freestyle Factory,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Glacier Hotel,Hotel,130,Snowy Peaks Academy,Ski,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Alpenglow Lodge,Hotel,180,Mountain Shredders,Snowboard,Profis
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Edelweiss Lodge,Hotel,150,Ski Masters,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Summit View Hotel,Hotel,80,Snowboard University,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Alpenglow Lodge,Hotel,180,Peak Performance Ski School,Ski,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Snowline Inn,Gasthaus,25,Alpine Explorers,Ski,Anfänger
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,Alpine Dreams Hotel,Hotel,140,Skiers’ Dream,Ski,Fortgeschrittene
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Snowy Peak Retreat,Ferienhaus,20,Winter Riders Academy,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Glacier Hotel,Hotel,130,Avalanche Ski School,Ski,Profis
Niseko United,Hokkaido,1200,Winter,Japan,Family Run,1.8,blau,40,Snowfall Hotel,Hotel,125,Snowboard Basics,Snowboard,Anfänger
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Trailhead Lodge,Gasthaus,20,Freeride School,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Summit View Hotel,Hotel,80,Chill & Shred,Snowboard,Anfänger
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Edelweiss Lodge,Hotel,150,The Ski Lab,Ski,Fortgeschrittene
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Alpenglow Lodge,Hotel,180,ShredMasters,Snowboard,Profis
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Fir Tree Cabins,Ferienhaus,15,Mountainboarders Academy,Snowboard,Fortgeschrittene
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Alpenrose Hotel,Hotel,200,The Snowboard Institute,Snowboard,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Snowline Inn,Gasthaus,25,Ski Evolution,Ski,Anfänger
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Snowy Peak Retreat,Ferienhaus,20,Ice Riders,Ski,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Trailhead Lodge,Gasthaus,20,Big Air Snowboard,Snowboard,Profis
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Glacier Hotel,Hotel,130,Snowy Summit Ski School,Ski,Fortgeschrittene
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,Alpine Dreams Hotel,Hotel,140,Vertical Riders,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Alpenglow Lodge,Hotel,180,Mountain Mavericks,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Summit View Hotel,Hotel,80,Snowboard Basecamp,Snowboard,Anfänger
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Edelweiss Lodge,Hotel,150,Snow Academy,Ski,Fortgeschrittene
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Fir Tree Cabins,Ferienhaus,15,Boarding Legends,Snowboard,Profis
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Glacier Hotel,Hotel,130,Powder Ridge Ski School,Ski,Profis
Niseko United,Hokkaido,1200,Winter,Japan,Family Run,1.8,blau,40,Snowfall Hotel,Hotel,125,Alpine Snow School,Ski,Anfänger
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Alpenrose Hotel,Hotel,200,Riders’ Retreat,Snowboard,Anfänger
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Snowline Inn,Gasthaus,25,Ultimate Ski Experience,Ski,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Edelweiss Lodge,Hotel,150,Freestyle Freaks,Snowboard,Profis
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Alpenglow Lodge,Hotel,180,Glacier Shredders,Snowboard,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Trailhead Lodge,Gasthaus,20,Snow Glide Academy,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Glacier Hotel,Hotel,130,Mountain Side Ski School,Ski,Profis
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,Alpine Dreams Hotel,Hotel,140,Shredzone,Snowboard,Fortgeschrittene
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Alpenrose Hotel,Hotel,200,Summit Ski and Snowboard,Ski,Fortgeschrittene
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Snowy Peak Retreat,Ferienhaus,20,Powder & Peak Ski School,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Glacier Hotel,Hotel,130,Alpine Ride Academy,Snowboard,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Summit View Hotel,Hotel,80,Board Walkers,Snowboard,Anfänger
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Snowline Inn,Gasthaus,25,Mountain Magic Ski School,Ski,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Trailhead Lodge,Gasthaus,20,Snowboarding Pros,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Alpenglow Lodge,Hotel,180,Snowboard Xtreme,Snowboard,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Edelweiss Lodge,Hotel,150,Altitude Ski Academy,Ski,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Glacier Hotel,Hotel,130,Mountain Ski and Board,Ski,Fortgeschrittene
Niseko United,Hokkaido,1200,Winter,Japan,Family Run,1.8,blau,40,Snowfall Hotel,Hotel,125,Alpine Glide Academy,Snowboard,Fortgeschrittene
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Fir Tree Cabins,Ferienhaus,15,Boarding Skills Academy,Snowboard,Anfänger
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Alpenrose Hotel,Hotel,200,Peak Performance Snowboard,Snowboard,Profis
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Snowline Inn,Gasthaus,25,Ski Peak Academy,Ski,Anfänger
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Tofana,5.5,rot,127,Alpine Dreams Hotel,Hotel,140,Alpine Snow Riders,Ski,Anfänger
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Summit View Hotel,Hotel,80,Riders Edge Snowboard School,Snowboard,Fortgeschrittene
Aspen Snowmass,Colorado,3813,Winter,USA,Big Burn,4.5,blau,111,Alpenglow Lodge,Hotel,180,Peak Shred Academy,Snowboard,Anfänger
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Glacier Hotel,Hotel,130,Mountain Stars Ski School,Ski,Profis
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Furggsattel,5.8,blau,141,Edelweiss Lodge,Hotel,150,Snowboard Pros Academy,Snowboard,Anfänger
Timberline Lodge,Oregon,2631,ganzjährig,USA,Molly's,3.0,blau,80,Fir Tree Cabins,Ferienhaus,15,Ski Bound Academy,Ski,Anfänger
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Happy Valley,1.5,blau,25,Summit View Hotel,Hotel,80,Winter Warriors Snowboard,Snowboard,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Snowline Inn,Gasthaus,25,Ski Vision Academy,Ski,Profis
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Kapall,3.4,rot,77,Alpenrose Hotel,Hotel,200,Rider’s Edge Ski School,Ski,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Solaise,6.0,rot,129,Le Glacier Hotel,Hotel,130,Snowboard Summit,Snowboard,Profis
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Dave Murray Downhill,3.1,schwarz,68,Snowy Peak Retreat,Ferienhaus,20,Summit Riders Ski School,Ski,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Ptarmigan,4.0,blau,80,Snowline Inn,Gasthaus,25,Alpine Action,Ski,Anfänger
Park City,Utah,3049,Winter,USA,Silver King,4.0,rot,109,Trailhead Lodge,Gasthaus,20,Snowboarders Paradise,Snowboard,Profis
Hintertuxer Gletscher,Tirol,3250,ganzjährig,Österreich,Olperer,4.0,rot,74,Alpenrose Hotel,Hotel,200,Powder School,Ski,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Edelweiss Lodge,Hotel,150,Freestyle Factory,Snowboard,Fortgeschrittene
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Edelweiss Lodge,Hotel,150,Ski Masters,Ski,Profis
Verbier,Wallis,3330,Winter,Schweiz,Attelas,3.7,rot,101,Edelweiss Lodge,Hotel,150,The Ski Lab,Ski,Fortgeschrittene
